02-09-2012;true;US;2071.419600;172524.4512;Syed;E;Abbas;4251368.5497;Linda;C;Mitchell
14-06-2013;true;CA;4.990000;172524.4512;Syed;E;Abbas;4251368.5497;Linda;C;Mitchell
09-05-2013;true;AU;9528.420300;172524.4512;Syed;E;Abbas;4251368.5497;Linda;C;Mitchell
08-01-2014;true;GB;121.230000;172524.4512;Syed;E;Abbas;4251368.5497;Linda;C;Mitchell
24-08-2011;true;US;7156.540000;172524.4512;Syed;E;Abbas;4251368.5497;Linda;C;Mitchell
01-11-2013;true;FR;301.880000;172524.4512;Syed;E;Abbas;4251368.5497;Linda;C;Mitchell
20-06-2014;true;AU;61.270000;172524.4512;Syed;E;Abbas;4251368.5497;Linda;C;Mitchell
27-11-2012;true;GB;4252.982100;172524.4512;Syed;E;Abbas;4251368.5497;Linda;C;Mitchell
29-12-2012;true;FR;4492.448200;172524.4512;Syed;E;Abbas;4251368.5497;Linda;C;Mitchell
14-10-2013;true;US;347.960000;172524.4512;Syed;E;Abbas;4251368.5497;Linda;C;Mitchell
09-11-2012;true;US;7302.517800;172524.4512;Syed;E;Abbas;4251368.5497;Linda;C;Mitchell
18-11-2011;true;FR;3578.270000;172524.4512;Syed;E;Abbas;4251368.5497;Linda;C;Mitchell
22-10-2012;true;FR;2443.350000;172524.4512;Syed;E;Abbas;4251368.5497;Linda;C;Mitchell
17-03-2014;true;GB;164.810000;172524.4512;Syed;E;Abbas;4251368.5497;Linda;C;Mitchell
21-08-2013;true;DE;276.740000;172524.4512;Syed;E;Abbas;4251368.5497;Linda;C;Mitchell
21-02-2012;true;AU;17688.070000;172524.4512;Syed;E;Abbas;4251368.5497;Linda;C;Mitchell
16-07-2013;true;AU;4960.370000;172524.4512;Syed;E;Abbas;4251368.5497;Linda;C;Mitchell
12-09-2013;true;US;2963.830000;172524.4512;Syed;E;Abbas;4251368.5497;Linda;C;Mitchell
29-09-2011;true;US;3374.990000;172524.4512;Syed;E;Abbas;4251368.5497;Linda;C;Mitchell
17-03-2014;true;FR;265.960000;172524.4512;Syed;E;Abbas;4251368.5497;Linda;C;Mitchell
17-06-2011;true;US;7855.638200;172524.4512;Syed;E;Abbas;4251368.5497;Linda;C;Mitchell
03-12-2013;true;FR;46.270000;172524.4512;Syed;E;Abbas;4251368.5497;Linda;C;Mitchell
19-05-2014;true;AU;4729.930000;172524.4512;Syed;E;Abbas;4251368.5497;Linda;C;Mitchell
10-07-2012;true;CA;4624.912500;172524.4512;Syed;E;Abbas;4251368.5497;Linda;C;Mitchell
04-06-2012;true;AU;6169.616000;172524.4512;Syed;E;Abbas;4251368.5497;Linda;C;Mitchell
08-10-2012;true;US;2049.098200;172524.4512;Syed;E;Abbas;4251368.5497;Linda;C;Mitchell
03-02-2013;true;GB;1565.980000;172524.4512;Syed;E;Abbas;4251368.5497;Linda;C;Mitchell
13-04-2014;true;AU;1239.200000;172524.4512;Syed;E;Abbas;4251368.5497;Linda;C;Mitchell
13-10-2011;true;GB;4277.368200;172524.4512;Syed;E;Abbas;4251368.5497;Linda;C;Mitchell
21-08-2013;true;CA;108.190000;172524.4512;Syed;E;Abbas;4251368.5497;Linda;C;Mitchell
26-01-2014;true;US;845.720000;172524.4512;Syed;E;Abbas;4251368.5497;Linda;C;Mitchell
